Sr_no,Abbrevation,Company Name,Reports,Industrial_vertical,Industry_sector,Date,Value,Start_year
195,FITB,Fifth Third Bancorp,reports,Financials,Regional Banks,,35527,1858
196,FE,FirstEnergy Corp,reports,Utilities,Electric Utilities,,1031296,1997
197,FRC,First Republic Bank,reports,Financials,Regional Banks,1/2/19,1132979,1985
198,FISV,Fiserv Inc,reports,Information Technology,Internet Software & Services,4/2/01,798354,
199,FLT,FleetCor Technologies Inc,reports,Information Technology,Data Processing & Outsources Services,6/20/18,1175454,2000
200,FLIR,FLIR Systems,reports,Information Technology,Electronic Equipment & Instruments,1/2/09,354908,
201,FLS,Flowserve Corporation,reports,Industrials,Industrial Machinery,10/2/08,30625,
202,FLR,Fluor Corp.,reports,Industrials,Construction & Engineering,3/31/80,1124198,
203,FMC,FMC Corporation,reports,Materials,Fertilizers & Agricultural Chemicals,8/19/09,37785,
204,FL,Foot Locker Inc,reports,Consumer Discretionary,Apparel Retail,4/4/16,850209,
205,F,Ford Motor,reports,Consumer Discretionary,Automobile Manufacturers,,37996,1903
206,FTNT,Fortinet,reports,Information Technology,Systems Software,10/11/18,1262039,2000
207,FTV,Fortive Corp,reports,Industrials,Industrial Machinery,7/1/16,1659166,
208,FBHS,Fortune Brands Home & Security,reports,Industrials,Building Products,6/22/16,1519751,
209,FOXA,Fox Corporation Class A,reports,Communication Services,Movies & Entertainment,7/1/13,1308161,
210,FOX,Fox Corporation Class B,reports,Communication Services,Movies & Entertainment,9/18/15,1308161,
211,BEN,Franklin Resources,reports,Financials,Asset Management & Custody Banks,,38777,1947
212,FCX,Freeport-McMoRan Inc.,reports,Materials,Copper,,831259,1912
213,GPS,Gap Inc.,reports,Consumer Discretionary,Apparel Retail,8/31/86,39911,
214,GRMN,Garmin Ltd.,reports,Consumer Discretionary,Consumer Electronics,12/12/12,1121788,
215,IT,Gartner Inc,reports,Information Technology,IT Consulting & Other Services,4/5/17,749251,
216,GD,General Dynamics,reports,Industrials,Aerospace & Defense,,40533,1899
217,GE,General Electric,reports,Industrials,Industrial Conglomerates,,40545,1892
218,GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,3/31/69,40704,1856
219,GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,6/6/13,1467858,
220,GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,12/31/73,40987,1925
221,GILD,Gilead Sciences,reports,Health Care,Biotechnology,7/1/04,882095,
222,GPN,Global Payments Inc.,reports,Information Technology,Data Processing & Outsourced Services,4/25/16,1123360,
223,GS,Goldman Sachs Group,reports,Financials,Investment Banking & Brokerage,7/22/02,886982,
224,GWW,Grainger (W.W.) Inc.,reports,Industrials,Industrial Machinery,6/30/81,277135,
225,HAL,Halliburton Co.,reports,Energy,Oil & Gas Equipment & Services,,45012,1919
226,HBI,Hanesbrands Inc,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",3/20/15,1359841,
227,HOG,Harley-Davidson,reports,Consumer Discretionary,Motorcycle Manufacturers,,793952,1903
228,HRS,Harris Corporation,reports,Industrials,Aerospace & Defense,9/22/08,202058,
229,HIG,Hartford Financial Svc.Gp.,reports,Financials,Property & Casualty Insurance,,874766,
230,HAS,Hasbro Inc.,reports,Consumer Discretionary,Leisure Products,9/30/84,46080,
231,HCA,HCA Healthcare,reports,Health Care,Health Care Facilities,1/27/15,860730,
232,HCP,HCP Inc.,reports,Real Estate,Health Care REITs,3/31/08,765880,
233,HP,Helmerich & Payne,reports,Energy,Oil & Gas Drilling,3/1/10,46765,
234,HSIC,Henry Schein,reports,Health Care,Health Care Distributors,3/17/15,1000228,
235,HSY,The Hershey Company,reports,Consumer Staples,Packaged Foods & Meats,,47111,1894
236,HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,5/31/84,4447,
237,HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals",11/2/15,1645590,
238,HLT,Hilton Worldwide Holdings Inc,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",6/19/17,1585689,
239,HFC,HollyFrontier Corp,reports,Energy,Oil & Gas Refining & Marketing,6/18/18,48039,
240,HOLX,Hologic,reports,Health Care,Health Care Equipment,3/30/16,859737,
241,HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,3/31/88,354950,
242,HON,Honeywell Int'l Inc.,reports,Industrials,Industrial Conglomerates,3/31/64,773840,1906
243,HRL,Hormel Foods Corp.,reports,Consumer Staples,Packaged Foods & Meats,3/4/09,48465,
244,HST,Host Hotels & Resorts,reports,Real Estate,Hotel & Resort REITs,3/20/07,1070750,
245,HPQ,HP Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals",12/31/74,47217,1939
246,HUM,Humana Inc.,reports,Health Care,Managed Health Care,,49071,1961
247,HBAN,Huntington Bancshares,reports,Financials,Regional Banks,,49196,1866
248,HII,Huntington Ingalls Industries,reports,Industrials,Aerospace & Defense,1/3/18,1501585,
249,IDXX,IDEXX Laboratories,reports,Health Care,Health Care Equipment,1/5/17,874716,
250,INFO,IHS Markit Ltd.,reports,Industrials,Research & Consulting Services,6/2/17,1598014,
251,ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,2/28/86,49826,
